student_id,name,age,gender,quiz1_marks,quiz2_marks,quiz3_marks,total_assignments,assignments_submitted,midterm_marks
1,Kristina Vaughan,19,Male,8,5.7,7.4,5,,30
2,Rodney Daniels,21,Male,10,7.9,4.1,5,,25.4
3,Jose Nash,19,Female,7.5,1.2,0.3,5,,14.4
4,Nicole Martin,21,Male,5.2,2.5,9.9,5,,17.7
5,Shelby Smith,21,Female,5.9,6.3,2,5,,23.8
6,Austin Griffin,22,Male,5.8,10,5.5,5,,9.4
7,Crystal Jordan,23,Female,7.4,1.1,1.5,5,,22
8,Sandra Patterson,23,Male,6.8,5.2,1.1,5,,12.8
9,Rachael Miles,23,Female,7.7,1.6,6.5,5,,16.1
10,Matthew Rice,18,Female,9.1,8.3,3,5,,16.9
11,Lawrence Powers,19,Female,6,5.5,2.2,5,,8
12,Joshua Henry,23,Male,6.9,8.5,6.6,5,,13.5
13,Jamie Jones,21,Female,6.9,9.9,0,5,,28.2
14,Rita Olson,19,Female,7.2,1,4.8,5,,23.6
15,Matthew Williams,23,Male,5.4,4.7,8.2,5,,23.3
16,Terry Little,22,Male,7.2,8.4,3.4,5,,16.7
17,Doris Larson,21,Male,7.6,6.7,5.5,5,,17.7
18,Gregg Gonzales,21,Female,6.3,4,5,5,,24
19,Pamela Jones,18,Female,7.5,5.8,0,5,,19.7
20,Mark Allen,21,Female,6.6,6.8,5.4,5,,8.3
21,Sherri Wheeler,24,Female,8.6,3.7,9.7,5,,6
22,Jeffrey Martin,21,Female,5,4.6,5.8,5,,15
23,Sandra Smith,24,Female,4.9,7.2,2.7,5,,30
24,Colton Bradley,25,Male,8.6,2.9,6.2,5,,30
25,Amy Johnson,20,Female,7.5,8,1.8,5,,6.8
26,Ryan Lyons,24,Female,7.5,6.9,3.5,5,,22.3
27,Dr. Andrew Chang,18,Male,10,7.2,1.9,5,,26.6
28,Michael Williamson Jr.,22,Female,9.3,3.9,8.4,5,,24.1
29,Jessica Hart,20,Female,6.5,4.1,2.8,5,,11.8
30,Stephanie Gonzales,22,Male,7.6,8.1,5.5,5,,30
31,Dr. Jamie Mclaughlin,22,Male,8.3,3.9,2.3,5,,24.8
32,Diana Martin,20,Male,7.9,5.8,3,5,,4.9
33,Jessica Russell,18,Male,7.4,2.9,6,5,,23.9
34,Christopher Buchanan,21,Male,7.1,3.1,6.6,5,,25.6
35,Sean Bates,19,Female,4.2,3.7,7,5,,25.1
36,Stephen Khan,20,Male,8.1,8.8,8.4,5,,26.5
37,Patricia Macias,20,Female,5.5,5.4,4,5,,20.8
38,Michael Davis,21,Male,8.4,2,4.1,5,,30
39,Richard Savage,23,Female,5.6,7.7,3.3,5,,22.2
40,Maria Pennington,21,Male,10,7.6,0,5,,21.9
41,Stephanie Yoder,21,Male,5.4,5.7,7,5,,28.7
42,Maria Rasmussen,18,Male,6.1,4.4,10,5,,24
43,Melanie Cox,23,Male,10,8.6,0.9,5,,15.2
44,Carol Walls,25,Male,7.9,7.9,2.7,5,,19.4
45,Brandon Garcia,25,Male,6.5,2.9,10,5,,5.7
46,David Williams,21,Male,9.9,2.4,9,5,,20.1
47,Eric Hodge,23,Female,7.4,4.5,5.7,5,,16.1
48,Daniel Nguyen,18,Male,10,2.9,10,5,,0.5
49,Elizabeth Cook,23,Male,7.6,4.4,4.9,5,,15.1
50,Tracy Myers,25,Male,7.7,4.3,8.2,5,,23.1
51,Ernest Payne,25,Male,5.3,4.6,7.7,5,,26.1
52,Richard Rich,19,Male,9.6,4.5,7.1,5,,18
53,Jonathan Francis,18,Male,8.7,8,9.4,5,,20.2
54,Olivia Jones,25,Female,7.6,5.7,5.8,5,,26
55,Ernest Allen,20,Female,5,3,9,5,,27.9
56,Jacob Ramirez,25,Female,7,3.8,5.7,5,,13.2
57,Jay Morris,25,Male,5.3,5.2,6.7,5,,14.4
58,Michelle Schultz,18,Male,7.5,4.7,4.1,5,,22.3
59,Lisa Ingram,18,Female,5.6,5.5,6.4,5,,30
60,Garrett Stevens,18,Male,7,3.5,5.4,5,,17.1
61,Brandon Parks II,19,Male,8,9.8,5.2,5,,24
62,Charles Tate,21,Male,7.4,6,5.8,5,,12.3
63,Jeffrey Jones,23,Female,9.9,8.4,10,5,,12.3
64,Amy Goodman,23,Male,10,4,3,5,,14
65,Brad Anderson,22,Female,5.5,6.4,6.5,5,,30
66,Jonathan Douglas,18,Female,5.2,7.2,1.5,5,,30
67,Zachary Thompson,19,Male,3.6,9.4,5.2,5,,30
68,Melissa Wood,23,Male,7,6.1,4.1,5,,26.2
69,David Browning,20,Female,7.2,7.3,7.6,5,,8.8
70,Peggy Parker,18,Female,7.7,4.1,10,5,,21.2
71,Dr. Susan James,22,Male,10,10,4.8,5,,29.7
72,Bryan Cook,20,Female,5.1,7.7,8.7,5,,2.4
73,Richard Davis,23,Male,6.5,7.8,10,5,,20.7
74,Brian Murphy,22,Female,3.6,5.9,6.7,5,,19.7
75,Sean Reid,24,Female,4.4,7.7,6.6,5,,10.6
76,Samuel Simmons,20,Female,6.9,8.4,2.5,5,,25
77,Patrick Norton,24,Male,6.8,3.4,3.8,5,,8
78,Shane Mccormick,20,Male,5.6,6.5,5.2,5,,17.8
79,Robert Coffey,20,Female,5.9,4.6,4.7,5,,0
80,John Ballard,23,Male,10,5.4,7.2,5,,23.1
81,Megan Wheeler,21,Male,6.7,3.6,0.7,5,,22
82,Diana Gould,24,Male,5.7,3.3,10,5,,28.8
83,Mark Thomas,20,Female,7.2,3.8,10,5,,25.4
84,Allen Vasquez,23,Female,5.2,2.5,8.3,5,,30
85,Bryan Miller,21,Female,5.7,4.8,3.7,5,,11.4
86,Mary Lawson,19,Female,7.5,5.9,4.8,5,,10.9
87,Charles Perry,21,Female,8,3.6,5.8,5,,27.5
88,Mr. Gabriel Harper,21,Male,5.7,7.4,3.2,5,,2
89,Anne Stanley,24,Female,7.5,3.7,7.4,5,,3.4
90,Nicholas Stevens,22,Female,5.7,6.1,2.9,5,,16.2
91,Richard Boyle,23,Male,8.7,3.2,7.1,5,,30
92,Jason Casey,22,Male,8.2,5.5,6.6,5,,14
93,Cheryl Burns,23,Female,9.3,6.6,6.5,5,,15.9
94,Holly Gonzalez,19,Female,7.8,4.9,6.4,5,,30
95,Kevin Jones,18,Female,9.4,5,0,5,,9.9
96,John Hughes,21,Female,7,10,6.5,5,,17.8
97,Michael Diaz,23,Female,7.5,7.9,1.1,5,,30
98,Jordan Bruce,22,Female,8.3,10,6,5,,22.5
99,Christina Haynes,24,Female,8.7,3.9,5.7,5,,15.2
100,Lauren Foster,24,Female,9.1,4.7,4.7,5,,10.2
101,Lauren Moore,22,Female,8.5,3.7,8.1,5,,30
102,Sandra Barr,22,Male,5.5,2.9,0.2,5,,30
103,Anthony Fernandez,23,Female,7.6,3.2,10,5,,21.3
104,Jill Salazar,21,Female,8,6.6,3.1,5,,24.7
105,Adriana Perry,19,Female,10,4.7,2.5,5,,18.7
